url-id|url|fetchStart|connectStart|responseStart|SpeedIndex|VC85|fcp|lcp-load|lcp-render|lcp-element
42|http://briconosaure.com|10|343|1116|1821|2100|1653|2084|2087|""http://briconosaure.com/wp-content/uploads/2018/09/tracteur_tondeuse_moteur-754x566.jpg""
43|http://buenavista-clinic.jp|11|401|1116|2360|2534|2120|2297|2304|""http://buenavista-clinic.jp/images/common/bg/bg_body.png""
44|http://bulgarian.98905.com|9|118|503|800|800|768|782|782|""http://css.98905.com/bg/img/banner.jpg""
45|http://cafe-tirol.com|11|271|706|2495|2867|934|1332|1334|""http://cafe-tirol.com/img/index/face.jpg""
46|http://caradaroclubpizza.com|11|667|765|1042|1167|988|1249|1255|""http://caradaroclubpizza.com/Images/MainBackground.jpg""
47|http://cd-cover.info|0|10|101|1250|2234|290|309|324|""https://cd-cover.info/images/sprite_00.png""
48|http://centrkrovi-penza.ru|1164|1166|2483|4024|3934|3237|3825|3838|""https://centrkrovi-penza.ru/templates/jblank/images/header.jpg""
49|http://ceramisart.pl|11|431|8096|9481|10167|9059|9422|9427|""http://ceramisart.pl/wp-content/themes/ceresemit/images/leftbg.jpg""
50|http://chatopenai.co.kr|10|539|976|0|0|
51|http://chess.mobialia.com|8|475|1012|2729|2734|1467|0|2508|""<div style="padding: 0.5rem;"></div>""
52|http://chincar.ir|11|1014|1670|3464|3434|3389|3606|3607|""http://chincar.ir/attachments/61488/350x350/%DB%B2%DB%B0%DB%B2%DB%B4%DB%B0%DB%B1%DB%B1%DB%B0_%DB%B1%DB%B7%DB%B5%DB%B0%DB%B2%DB%B7.jpg""
53|http://click.goldengoal-crm.com.br|10|430|607|734|734|686|0|690|""<h3></h3>""
54|http://cloudmesh.net|1149|1382|1852|2207|3534|3503|2531|2531|""http://d38psrni17bvxu.cloudfront.net/themes/cleanPeppermintBlack_657d9013/img/arrows.png""
55|http://clubmaria-ginza.com|11|687|3486|5157|6000|4268|6023|6023|""https://storage.googleapis.com/caskan/img/shop_bg/1087_bg_1649998973.jpg""
56|http://cna.caehs.kr|1|1|782|5100|6834|2927|6924|6928|""http://cna.caehs.kr/images/template/00309/main/M_visual.jpg""
57|http://coconut14.blog70.fc2.com|10|90601|91119|91618|91534|91433|91649|91649|""http://blog-imgs-56-origin.fc2.com/k/a/l/kaleidoscope0211/f12.jpg""
58|http://cogicmedia.cogic.org|12|56|243|334|334|311|0|312|""<p></p>""
59|http://comics.777h.ru|11|1058|1572|2124|2067|1644|0|1660|""<h1></h1>""
60|http://concursos.ibdoprojetos.org.br|10|917|1111|1703|1734|1603|1679|1679|""http://static-cdn.selecao.net.br/redim/350x115/0/331/configs/6a0a7d9adfa63a2b501665d0796e2ebf.png""
61|http://connectivitycheck.cbg-app.huawei.com|10|310|719|800|800|793|0|794|""<center></center>""
62|http://conseildiet.free.fr|11|618|1004|1908|1867|
63|http://cookngourmandises.over-blog.com|11|233|902|2603|2734|2419|2690|2690|""http://assets.over-blog.com/t/catalog/images/background/content/Fabric.png""
64|http://corleone-tattoo.com|9|236|712|1551|1666|1313|0|1317|""<p class="site-title"></p>""
65|http://craiova.tvr.ro|9|1068|1599|16508|20966|2557|5406|5406|""http://mediatvr.tvr.ro/media-tvr/image/202401/w882/luiza-paraschivu-25_82486800.jpg""
66|http://crssietjhajjar.ac.in|9|63|1315|9179|9767|6109|0|6140|""<h1 class="elementor-heading-title elementor-size-default"></h1>""
67|http://cshfishhatchery.org|10|46|450|6164|6634|5662|6858|6863|""http://cshfishhatchery.org/wp-content/uploads/2019/03/camp_banner.jpg""
68|http://daikinapplied.co.id|11|190|1048|6132|11534|3218|5579|5585|""http://daikinapplied.co.id/wp-content/uploads/2017/02/WEB-applied-1.jpg""
69|http://daleplaytickets.com|10|231|856|3229|3400|
70|http://danielamerman.com|10|72|284|728|967|484|1076|1085|""http://danielamerman.com/Images/SideBar/TripleSolutions-AA.jpg""
71|http://danielamin.blogspot.com|11|57|381|844|867|653|844|844|""http://www.blogblog.com/1kt/watermark/body_background_flower.png""
72|http://delkipodelki.ru|9|458|968|1897|3767|1326|4053|4053|""https://avatars.mds.yandex.net/get-direct/5161166/mqLjC0Mzv-jicfn91K0stA/y300""
73|http://dem.dsinnovators.com|8|67|743|11540|12067|9996|13155|13155|""http://dem.dsinnovators.com/assets/images/dsi-logo.png""
74|http://descy.50megs.com|9|103|181|353|400|293|378|394|""http://descy.50megs.com/fs_img/builder/family_tree/heading.jpg""
75|http://desyatka.org|9|206|875|3624|4434|2441|4414|4425|""http://desyatka.org/img/background-hero.png""
76|http://dictionary.pirao.ru|12|397|809|1294|1633|893|1838|1843|""http://dictionary.pirao.ru/index.files/image002.jpg""
77|http://dinvzendegi.blogfa.com|11|41|355|628|534|509|2898|2898|""http://www.blogfa.com/b/18C01217274.gif""
78|http://dominicanmusicusa.com|10|51|303|2213|7634|551|990|1002|""http://dominicanmusicusa.com/media/images/slideshow_images/5-Orquesta-1962_1586128637.jpg""
