url-id|url|fetchStart|connectStart|responseStart|SpeedIndex|VC85|fcp|lcp-load|lcp-render|lcp-element
0|http://4mov.do.am|1215|1215|2567|4991|4834|4546|0|4796|""<div class="Tags"></div>""
1|http://59188048.blog.fc2.com|254|254|317|609|634|591|0|591|""<div class="body"></div>""
2|http://a81.qooqootv.top|3004|3006|3314|4035|4433|4416|3634|3634|""http://d38psrni17bvxu.cloudfront.net/themes/cleanPeppermintBlack_657d9013/img/arrows.png""
3|http://abcloudsoft.com|2|54|1519|3296|4667|2699|3268|3315|""https://abcloudsoft.com/banner/about.png""
4|http://adelaide.china-consulate.gov.cn|2|14|786|2815|4500|1747|2511|2530|""https://adelaide.china-consulate.gov.cn/images/header.jpg""
5|http://advanced-personality.com|1545|1867|2658|3298|3467|3080|0|3447|""<p></p>""
6|http://ag.win999.com|430|430|582|2767|2767|2748|0|2748|""<h2 _ngcontent-ng-c2341760758="" class="form-signin-heading"></h2>""
7|http://agmindis.lt|1022|1022|1691|2879|3100|2346|3322|3346|""http://agmindis.lt/wp-content/themes/Real%20Estate%20v1.3/skins/1-default/i-contentbg.png""
8|http://ahlevela.com|2|319|1354|3915|4000|3560|4066|4110|""https://ahlevela.com/templates/ahlevela/images/header.jpg""
9|http://aiharamao.seesaa.net|282|282|588|2163|3467|1253|0|2453|""<div class="text"></div>""
10|http://aks.roshd.ir|3003|3003|3353|5206|6200|4670|5357|5370|""http://aks.roshd.ir/css/main/c-t.gif""
11|http://aliamtz.blogfa.com|321|321|421|1003|967|820|936|936|""http://theme.blogfa.com/rail/header.jpg""
12|http://allahsname.blogspot.com|3|86|357|1062|1067|993|1093|1143|""https://4.bp.blogspot.com/-LTs8FgzLaEo/VZOaO14UFCI/AAAAAAAACoc/tk0VhngTs8M/s1600/212.gif""
13|http://amami-lucky-rentacar.com|3|118|747|800|800|802|0|802|""<p></p>""
14|http://amarvelousevent.com|3|16|403|981|1067|703|911|953|""https://i1.wp.com/amarvelousevent.com/wp-content/uploads/Amarvelous_Event_Wedding_2018_04_14-01-scaled.jpg?strip=info&w=2000""
15|http://ambulantniporod.cz|0|0|1481|8277|8934|4064|0|4914|""<p></p>""
16|http://amsterdamfixedmatches.com|2|64|648|1203|1134|1155|1086|1155|""https://amsterdamfixedmatches.com/wp-content/uploads/2023/09/Amsterdam-Fixed-Match.jpg""
17|http://andalocyparfums.com|3|11|2939|9581|14067|7105|8470|9022|""https://andalocyparfums.com/wp-content/uploads/2018/10/SLIDE1-1280-700.jpg""
18|http://arabfemdom4.blogspot.com|2|88|422|1251|1267|598|578|1482|""https://2.bp.blogspot.com/-saIfPSQxcsA/WSwGTn4RuNI/AAAAAAAALOI/8c03ecmyP_EpGuo_fEXtkkOKZOZFTVuJwCK4B/s1600/00212.jpg""
19|http://arfania.com|2|235|1054|1133|1133|1099|0|1099|""<body></body>""
20|http://atc-a.ru|688|688|1139|4373|5233|2939|4947|4989|""http://atc-a.ru/upload/information_system_29/2/4/6/item_246/item_246.jpg?1706324620526""
21|http://ats-avs.co.jp|3|112|307|334|334|328|0|328|""<h1 style="text-align: center;"></h1>""
22|http://aureleencuisine.canalblog.com|855|855|1261|4023|4433|3114|3608|3608|""https://p1.storage.canalblog.com/17/17/851394/81646746_p.jpg""
23|http://avtokompressor.bestshop111.space|2|194|898|934|934|935|0|935|""<pre></pre>""
24|http://azadphilosophy90.blogfa.com|704|704|902|1237|1234|1076|1321|1321|""http://theme.blogfa.com/horizon/os_sidebar.jpg""
25|http://azbuka-dveri.ru|3|367|1272|2264|2367|2060|3319|3427|""https://azbuka-dveri.ru/storage/333/3-S.jpg""
26,http://baztehshop.ru,,,,,,,,,
27|http://bbsswap.de|1472|1472|1639|5972|10567|4057|0|10760|""http://bbsswap.de/img/sbbs/video.mp4""
