url-id|url|fetchStart|connectStart|responseStart|SpeedIndex|VC85|fcp|lcp-load|lcp-render|lcp-element
0|http://4mov.do.am|1230|1230|2452|4542|4400|4285|4183|4387|""http://4mov.do.am/_ld/0/48828626.jpg""
1|http://59188048.blog.fc2.com|144|144|220|456|468|403|0|403|""<div class="body"></div>""
2|http://a81.qooqootv.top|3003|3005|3440|4375|4766|4735|4011|4011|""http://d38psrni17bvxu.cloudfront.net/themes/cleanPeppermintBlack_657d9013/img/arrows.png""
3|http://abcloudsoft.com|2|40|1005|4799|5500|3451|3302|4035|""https://abcloudsoft.com/banner/bg.png""
4|http://adelaide.china-consulate.gov.cn|2|10|647|2273|8524|1387|1681|1704|""https://adelaide.china-consulate.gov.cn/images/header.jpg""
5|http://advanced-personality.com|1063|1476|2193|3386|4111|2750|0|4066|""<div class="title-home twothird"></div>""
7|http://ag.win999.com|503|503|713|0|0|
6|http://agmindis.lt|1107|1107|1938|3801|9910|2581|3911|3931|""http://agmindis.lt/wp-content/uploads/1-12-650x277.jpg""
8|http://ahlevela.com|2|234|1258|3722|3800|3072|3844|3905|""https://ahlevela.com/templates/ahlevela/images/header.jpg""
9|http://aiharamao.seesaa.net|296|296|420|2304|3266|1117|2114|2114|""http://blog.seesaa.jp/img/bg/green_leaves/head.jpg""
10|http://aks.roshd.ir|3004|3004|3370|5523|6533|4903|5419|5436|""http://aks.roshd.ir/css/main/c-t.gif""
11|http://aliamtz.blogfa.com|323|323|423|989|833|751|775|775|""http://theme.blogfa.com/rail/header.jpg""
12|http://allahsname.blogspot.com|2|80|390|629|634|602|577|636|""https://4.bp.blogspot.com/-LTs8FgzLaEo/VZOaO14UFCI/AAAAAAAACoc/tk0VhngTs8M/s1600/212.gif""
13|http://amami-lucky-rentacar.com|2|252|861|935|935|902|0|902|""<p></p>""
14|http://amarvelousevent.com|3|68|485|1036|1101|855|929|955|""https://i1.wp.com/amarvelousevent.com/wp-content/uploads/Amarvelous_Event_Wedding_2018_04_14-01-scaled.jpg?strip=info&w=1500""
15|http://ambulantniporod.cz|0|0|3225|10626|12000|6090|0|7957|""<p></p>""
16|http://amsterdamfixedmatches.com|2|138|829|1405|1300|1267|1190|1267|""https://amsterdamfixedmatches.com/wp-content/uploads/2023/09/Amsterdam-Fixed-Match.jpg""
17|http://andalocyparfums.com|3004|3004|5765|15125|20866|9553|15171|15171|""https://andalocyparfums.com/wp-content/uploads/2018/10/SLIDE1-1280-700.jpg""
18|http://arabfemdom4.blogspot.com|3|70|514|1870|1900|802|1108|1286|""https://1.bp.blogspot.com/-yElJA-wQ5fo/WJ7xZLQoMsI/AAAAAAAAK6g/bbbd_M1fo1Unm_ejjqY1W3ItcgHGf-U5gCK4B/s1600/SAR-Lalla-Salma.jpg""
19|http://arfania.com|2|226|1042|1100|1100|1087|0|1087|""<body></body>""
20|http://atc-a.ru|637|637|1058|4082|4533|2371|4245|4288|""http://atc-a.ru/upload/information_system_29/2/4/6/item_246/item_246.jpg?1707206934274""
21|http://ats-avs.co.jp|2|40|165|233|233|205|0|205|""<h1 style="text-align: center;"></h1>""
22|http://aureleencuisine.canalblog.com|812|812|1018|3547|4472|2737|0|4454|""<div class="jad_cmp_paywall_intro-text mobile-collapsed"></div>""
23|http://avtokompressor.bestshop111.space|2|561|1269|1333|1333|1320|0|1320|""<pre></pre>""
24|http://azadphilosophy90.blogfa.com|328|328|550|820|700|680|936|936|""http://theme.blogfa.com/horizon/os_sidebar.jpg""
25|http://azbuka-dveri.ru|2|787|1916|2841|2800|2785|2695|2785|""https://azbuka-dveri.ru/site/image/catalog2.png""
26,http://baztehshop.ru,,,,,,,,,
27|http://bbsswap.de|2048|2048|2252|8972|11767|4734|0|11886|""http://bbsswap.de/img/sbbs/video.mp4""
28|http://bda.ariege.fr|2|503|1396|3435|2470|2271|2295|2337|""https://bda.ariege.fr/var/cg09/storage/images/mediatheque/bdp/lire-ecouter-voir/ecouter/catalogue-formation-2024/633811-1-fre-FR/Catalogue-formation-2024_accueil-slider.jpg""
31|http://be-side.jp|3|596|1324|1400|1400|1369|0|1369|""<p></p>""
29,http://beamstory.php.xdomain.jp,,,,,,,,,
30|http://bellsmillfishery.co.uk|3003|3004|5170|7100|7308|6287|7268|7287|""http://bellsmillfishery.co.uk/wp-content/uploads/2020/02/d4ad5094-2265-426b-8069-9a8ae4b53822.jpg""
32|http://bestgolf.co.jp|2|826|1445|1700|1700|1686|0|1686|""<p></p>""
33|http://betulart.hu|1164|1682|2299|3994|4004|3116|0|3116|""<span data-sr-id="4" style="visibility: visible; opacity: 1; transform: matrix3d(1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1); transition: opacity 0.8s cubic-bezier(0.5, 0, 0, 1) 0s, transform 0.8s cubic-bezier(0.5, 0, 0, 1) 0s;"></span>""
35|http://bi-bahane.blogfa.com|332|332|431|2626|2570|2002|3055|3055|""http://themeupload.theme-designer.com/62/image/2.jpg""
34|http://bi.alfatransportes.com.br|0|0|4041|10108|10866|6540|0|6557|""<div id="texto-inicial"></div>""
36|http://blog.fefe.de|2|9|654|734|734|704|0|704|""<p></p>""
37|http://bluearknd63sat.blog86.fc2.com|139|139|194|508|566|437|531|531|""http://blog-imgs-32-origin.fc2.com/b/l/u/bluearknd63sat/bmheada02.jpg""
38|http://bocaraton.matteosristorante.com|3004|3004|31212|32361|32433|31652|32366|32386|""http://bocaraton.matteosristorante.com/wp-content/uploads/2022/11/BOCA-MAIN.jpg""
39|http://boen.or.jp|2|131|1369|6064|7066|2220|9052|9087|""https://boen.or.jp/wordpress/wp-content/themes/cncTheme/img/summer.jpg""
40|http://bookholder.co.il|0|0|2224|7073|7474|2891|3351|3391|""http://bookholder.co.il/images/topBg.jpg""
41|http://bookpooh.com|1210|1210|2629|3371|4233|2837|0|2837|""<p></p>""
42|http://briconosaure.com|2|259|1112|2281|2466|2220|2113|2220|""https://briconosaure.com/wp-content/uploads/2018/10/cone_metallique-754x566.jpg""
43|http://buenavista-clinic.jp|2|125|736|1035|1035|1003|947|1003|""data:image/png;base64,%0AiVBORw0KGgoAAAANSUhEUgAAAlgAAABsCAIAAAA5cFsZAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSB""
44|http://bulgarian.98905.com|840|840|1044|1317|1333|1270|1252|1252|""http://css.98905.com/bg/img/banner.jpg""
45|http://cafe-tirol.com|2|252|868|935|935|902|0|902|""<p></p>""
46|http://caradaroclubpizza.com|2|93|321|400|400|370|0|370|""<p></p>""
47|http://cd-cover.info|2|12|96|502|1304|171|191|221|""https://cd-cover.info/images/sprite_00.png""
48|http://centrkrovi-penza.ru|3|299|1478|3272|2966|2601|2755|2802|""https://centrkrovi-penza.ru/templates/jblank/images/header.jpg""
49|http://ceramisart.pl|2|336|984|1337|1738|1021|1706|1706|""https://cyberfolks.pl/wp-content/themes/cyberfolks/dist/img/static/logo_gray.svg""
50|http://chatopenai.co.kr|2|465|1081|1133|1133|1104|0|1104|""<div class="ml-4 text-lg text-gray-500 uppercase tracking-wider"></div>""
51|http://chess.mobialia.com|2|302|921|2963|2970|1154|1125|1154|""https://chess.mobialia.com/img/loading.gif""
52|http://chincar.ir|0|0|385|9027|9166|5140|5021|5140|""http://chincar.ir/attachments/61485/350x350/%DB%B2%DB%B0%DB%B2%DB%B3%DB%B1%DB%B2%DB%B1%DB%B3_%DB%B2%DB%B3%DB%B4%DB%B8%DB%B1%DB%B0.jpg""
53|http://click.goldengoal-crm.com.br|3003|3003|3075|3137|3137|3118|0|3118|""<h3></h3>""
54|http://cloudmesh.net|3005|3006|3308|4159|4566|4519|3847|3847|""http://d38psrni17bvxu.cloudfront.net/themes/cleanPeppermintBlack_657d9013/img/arrows.png""
55|http://clubmaria-ginza.com|2|239|1072|1135|1135|1103|0|1103|""<body></body>""
56|http://cna.caehs.kr|2|2|296|9066|9376|5054|4995|5054|""http://cna.caehs.kr/images/template/00309/main/M_visual.jpg""
57|http://coconut14.blog70.fc2.com|140|140|213|539|533|472|0|472|""<div class="ently_text"></div>""
58|http://cogicmedia.cogic.org|272|272|352|401|401|385|0|385|""<p></p>""
59|http://comics.777h.ru|2|323|936|1072|1066|1070|1076|1076|""https://assets.plesk.com/static/default-website-content/public/img/robot-e712cf.svg""
60|http://concursos.ibdoprojetos.org.br|3|433|724|1467|1466|1436|0|1453|""<h3></h3>""
61|http://connectivitycheck.cbg-app.huawei.com|3|15|925|1003|1003|967|0|967|""<center></center>""
62|http://conseildiet.free.fr|3004|3004|3747|5220|5400|
63|http://cookngourmandises.over-blog.com|810|810|965|3363|4145|2752|3954|3954|""https://image.over-blog.com/KTsOG4cLMlAgpMTr-xkYPb1aybA=/940x320/smart/filters:no_upscale()/image%2F1397446%2F20181019%2Fob_0554e0_cook-n-gourmandises-1.png""
64|http://corleone-tattoo.com|3|288|905|969|969|954|0|954|""<p></p>""
65|http://craiova.tvr.ro|3004|5830|6239|20399|26733|6966|13022|13022|""http://mediatvr.tvr.ro/media-tvr/image/202402/w882/simona-muprc-c8prc-99uroi_83111600.jpg""
66|http://crssietjhajjar.ac.in|2|20|1761|14330|30184|6184|8212|8234|""https://crssietjhajjar.ac.in/wp-content/uploads/2019/07/WhatsApp-Image-2020-07-31-at-2.36.48-AM.jpeg""
67|http://cshfishhatchery.org|2|18|349|403|400|386|0|386|""<div class="content-middle"></div>""
68|http://daikinapplied.co.id|2|306|1125|1200|1200|1168|0|1168|""<p></p>""
69|http://daleplaytickets.com|2|467|1281|1335|1335|1319|0|1319|""<body></body>""
70|http://danielamerman.com|2|68|352|724|869|518|849|868|""https://danielamerman.com/Images/LayOut/BannerB.jpg""
71|http://danielamin.blogspot.com|3|312|430|883|1003|601|0|968|""<div style="color: black;"></div>""
