url-id|url|fetchStart|connectStart|responseStart|SpeedIndex|VC85|fcp|lcp-load|lcp-render|lcp-element
46|http://caradaroclubpizza.com|2|125|342|400|400|405|0|405|""<pre></pre>""
47|http://cd-cover.info|2|19|105|361|266|171|228|254|""https://cd-cover.info/images/sprite_00.png""
48|http://centrkrovi-penza.ru|3|314|1331|3208|8100|2133|2459|2483|""https://centrkrovi-penza.ru/templates/jblank/images/header.jpg""
49|http://ceramisart.pl|3|382|996|1332|1866|1035|0|1035|""<center></center>""
50|http://chatopenai.co.kr|2|394|1009|1066|1066|1055|0|1055|""<div class="ml-4 text-lg text-gray-500 uppercase tracking-wider"></div>""
51|http://chess.mobialia.com|2|264|880|2928|2933|1122|1088|1122|""https://chess.mobialia.com/img/loading.gif""
52|http://chincar.ir|2208|2208|2563|5977|5966|5937|5848|5937|""http://chincar.ir/attachments/61488/350x350/%DB%B2%DB%B0%DB%B2%DB%B4%DB%B0%DB%B1%DB%B1%DB%B0_%DB%B1%DB%B7%DB%B5%DB%B0%DB%B2%DB%B7.jpg""
53|http://click.goldengoal-crm.com.br|3003|3003|3070|3133|3133|3106|0|3106|""<h3></h3>""
54|http://cloudmesh.net|3004|3005|3373|4194|4466|4432|3855|3855|""http://d38psrni17bvxu.cloudfront.net/themes/cleanPeppermintBlack_657d9013/img/bottom.png""
55|http://clubmaria-ginza.com|2|441|2071|2133|2133|2118|0|2118|""<body></body>""
56|http://cna.caehs.kr|1|1|293|8298|8333|4477|4774|4794|""http://cna.caehs.kr/images/template/00309/main/M_visual.jpg""
57|http://coconut14.blog70.fc2.com|137|137|201|1192|1166|984|0|1084|""<div class="ently_text"></div>""
58|http://cogicmedia.cogic.org|271|271|356|433|433|401|0|401|""<p></p>""
59|http://comics.777h.ru|2|427|1046|1234|1233|1203|0|1203|""<span></span>""
60|http://concursos.ibdoprojetos.org.br|2|706|981|1714|1733|1672|0|1722|""<span></span>""
61|http://connectivitycheck.cbg-app.huawei.com|2|42|618|700|700|670|0|670|""<center></center>""
62|http://conseildiet.free.fr|3004|3004|3236|4019|4204|
63|http://cookngourmandises.over-blog.com|840|840|1043|3528|3904|3007|3569|3569|""https://image.over-blog.com/KTsOG4cLMlAgpMTr-xkYPb1aybA=/940x320/smart/filters:no_upscale()/image%2F1397446%2F20181019%2Fob_0554e0_cook-n-gourmandises-1.png""
64|http://corleone-tattoo.com|2|163|776|833|833|822|0|822|""<p></p>""
65|http://craiova.tvr.ro|3003|3003|3214|14678|21300|3889|6230|6230|""http://mediatvr.tvr.ro/media-tvr/image/202402/w882/luiza-paraschivu_00727100.jpg""
66|http://crssietjhajjar.ac.in|3003|3003|3764|7600|8266|5719|10733|10753|""http://crssietjhajjar.ac.in/wp-content/uploads/2019/07/WhatsApp-Image-2020-07-31-at-2.36.48-AM.jpeg""
67|http://cshfishhatchery.org|2|18|345|406|400|387|0|387|""<p></p>""
68|http://daikinapplied.co.id|2|235|1144|1200|1200|1186|0|1186|""<p></p>""
69,http://daleplaytickets.com,,,,,,,,,
70|http://danielamerman.com|2|186|605|909|1000|754|969|987|""https://danielamerman.com/Images/SideBar/HomeWealthA.jpg""
71|http://danielamin.blogspot.com|3|49|163|372|366|351|0|351|""<div style="color: black;"></div>""
72|http://delkipodelki.ru|2|600|1726|1801|1801|1770|1740|1770|""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAxsAAABdCAYAAADNN3slAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbW""
73|http://dem.dsinnovators.com|1247|1247|1553|9650|10533|8122|10765|10771|""http://dem.dsinnovators.com/assets/images/dsi-logo.png""
74|http://descy.50megs.com|137|137|185|303|366|272|345|372|""http://descy.50megs.com/fs_img/builder/family_tree/heading.jpg""
75|http://desyatka.org|2|222|834|1601|1600|1387|1549|1571|""https://desyatka.org/manimg/sirius/login-bg.gif""
76|http://dictionary.pirao.ru|2|393|1129|1952|2066|1170|2039|2054|""https://dictionary.pirao.ru/index.files/image002.jpg""
77|http://dinvzendegi.blogfa.com|332|332|435|847|566|570|2746|2746|""http://www.blogfa.com/b/19E41F607E9.gif""
78|http://dominicanmusicusa.com|189|189|318|769|1133|570|1100|1120|""http://dominicanmusicusa.com/media/images/slideshow_images/5-Orquesta-1962_1586128637.jpg""
79|http://doncweb.blogspot.com|2|102|382|1287|1501|651|0|1485|""<div class="summary entry-summary" itemprop="description"></div>""
80|http://download2.ebz.epson.net|2|51|110|166|166|154|0|154|""<body></body>""
81|http://ds0003.kokshetau.aqmoedu.kz|2|305|1437|4869|5633|3732|5543|5599|""https://ds0003.kokshetau.aqmoedu.kz/arc/hello/725.jpg?_NC=1707238631""
82|http://ehvfc.org|311|311|530|1523|1800|984|1732|1732|""https://chiefcdn.chiefpoint.com/content/External/ehvfc//articleimages/Article_ArticleGallery_49818_01006.jpeg/1024""
83|http://elearningv1.usk.ac.id|2|286|1436|1800|1800|1787|0|1787|""<td valign="top" width="100%" class="category name"></td>""
84|http://enpuz.com|919|919|1123|1681|1600|1570|0|1570|""<p class="mt-5 fs-5"></p>""
85|http://eradia.net|2|440|1149|1765|2033|1402|2177|2202|""https://eradia.net/theme/gfx/left_menu.png""
86|http://esakatwinreverb.com|3|159|773|1066|1066|1032|980|1032|""data:image/png;base64,%0AiVBORw0KGgoAAAANSUhEUgAAAlgAAABsCAIAAAA5cFsZAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSB""
87|http://esfadnews.blogfa.com|345|345|450|1107|2600|601|0|601|""<p style="text-align:justify" dir="rtl"></p>""
88|http://exatourbaikal.com|1052|1052|1395|5243|11066|2522|4339|4355|""http://exatourbaikal.com/wp-content/themes/baikal/img/top-img3.jpg""
89|http://fauzanmrzz.blogspot.com|2|66|378|5666|5666|5653|0|5653|""<div id="summary4988984998562140598" itemprop="articleBody"></div>""
90|http://figofago.konin.pl|3004|3004|3477|5373|5633|3922|4400|4455|""http://figofago.konin.pl/wp-content/uploads/2024/01/mt-sample-background.jpg""
91|http://finance.hcu.ac.th|0|0|1099|8945|19200|2574|4781|4807|""http://finance.hcu.ac.th/wp-content/uploads/2024/01/1706226175691-1470x960.jpg""
92|http://fischraeucherei-brauer.de|989|989|1495|2437|2566|2171|2282|2305|""http://fischraeucherei-brauer.de/wp-content/uploads/2018/04/Firma-Brauers-Fischraeucherei.jpg""
