url_id|url|power|redirectEnd|fetchStart|domainLookupStart|connectStart|requestStart|responseStart|domContentLoadedEventStart|domComplete|SpeedIndex|VC85|fcp|lcp_load|lcp_render|lcp_element
0000|http://01fishers.blog.fc2.com|||||||||||||||
0001|http://1honar2memari.blogfa.com|||||||||||||||
0002|http://1-yoshi.com|0|0|-6|6|8|131|303|1568|2316|||1541|2194|2194|""http://1-yoshi.watson.jp/wp-content/uploads/2020/04/001.jpg""
0003|http://4lyk-p-falir.att.sch.gr|0|845|849|849|849|856|1459|3689|4740|||3603|4536|4537|""http://4lyk-p-falir.att.sch.gr/portal//images/headers/img3.jpg""
0004|http://aachrist.blogfa.com|||||||||||||||
0005|http://aboutvalues.net|0|0|-5|3|4|166|324|2663|3535|||2149|3534|3539|""http://aboutvalues.net/assets/images/home_header.jpg""
0006|http://account.friend.co.th|0|0|-5|11|11|229|449|2958|4025|||2961|3338|3347|""http://account.friend.co.th/images/table1_05.gif""
0007|http://acnenet.com.ua|||||||||||||||
0008|http://actel.jp|0|0|-3|9|10|169|309|357|731|||331|484|497|""http://actel.jp/Images/header7a_1.gif""
0009|http://addeen.my|||||||||||||||
0010|http://administracion.realmexico.info|0|98|145|145|145|148|237|475|2094|||385|0|428|""<h1 class='title'></h1>""
0011|http://adm-shr.ru|||||||||||||||
0012|http://aion.by|||||||||||||||
0013|http://akoya-karlsruhe.de|0|0|-6|9|10|161|465|2247|6093|||2297|5248|5261|""http://akoya-karlsruhe.de/.cm4all/uproc.php/0/banner/.banner%201%20B.jpg/picture-2600?_=16d40a78d44""
0014|http://allemanshalsan.nu|0|0|-3|0|1|164|1747|3276|3901|||3209|3668|3676|""http://allemanshalsan.nu/wp-content/uploads/2019/09/header-2019-2-1500x351.jpg""
0015|http://alljapanminibikerace.blog.fc2.com|0|0|188|191|191|212|275|528|613|||467|0|513|""<a href='http://alljapanminibikerace.blog.fc2.com/'></a>""
0016|http://alyssasfantasies.com|0|0|-4|2|3|159|358|1441|1786|||854|1489|1489|""https://userfiles.escortbook.com/efh/0/135/764/header_174_1_1720180230.jpg""
0017|http://amaliyah.net|||||||||||||||
0018|http://api.flexplatform.net|||||||||||||||
0019|http://archive0310.net|0|0|-5|1|1|154|319|353|1473|||1061|0|1113|""<h1 class='title text-lg-left text-center'></h1>""
0020|http://archiwum.udskior.gov.pl|||||||||||||||
0021|http://art-clinic.byoinnavi.jp|0|246|254|254|254|256|379|1568|2079|||1370|1708|1713|""http://art-clinic.byoinnavi.jp/image/flash_image20200317.jpg""
0022|http://artimagia.pt|0|0|-3|10|10|183|913|2072|4245|||1840|3720|3730|""http://artimagia.pt/wp-content/uploads/2019/02/Design-sem-nome.png""
0023|http://aura.happylife7.com|0|0|-4|7|7|133|264|810|3022|||652|873|927|""http://aura.happylife7.com/images/logo.jpg""
0024|http://autoberdsk.ru|0|0|-4|2|2|177|814|2252|8986|||1986|2935|3081|""http://autoberdsk.ru/wp-content/themes/Collias/images/fon_logo.png""
0025|http://autortakizawa.com.mx|0|0|-4|1|1|87|310|874|1250|||552|640|640|""https://si.nccdn.net/page_images/underneath_car-1920x1275.jpg""
0026|http://avayeirane.blogfa.com|||||||||||||||
0027|http://avn.indo.kg|||||||||||||||
0028|http://bamberg-hautarzt.de|||||||||||||||
0029|http://bancadati.anpalservizi.it|||||||||||||||
0030|http://bantinxedien.com|0|0|-5|16|17|258|674|10671|40653|||10559|12960|12968|""http://bantinxedien.com/upimages/articles/dibao/1698403180_DB0206-copy_2_result.jpg""
0031|http://baotangbinhthuan.com|0|0|77|88|91|946|1295|7253|50888|||7134|23847|23857|""https://baotangbinhthuan.com/wp-content/uploads/2024/05/logo-Copy.png""
0032|http://barbarabytom.asn.pl|0|0|-5|12|12|174|347|1119|3414|||397|2389|2395|""http://barbarabytom.asn.pl/x/img/brb_14.jpg""
0033|http://bashgazon.ru|0|0|34|35|38|485|870|1677|5226|||1374|1893|1898|""https://bashgazon.ru/wp-content/uploads/2024/04/promo-scaled.webp""
0034|http://bbmbdavnangal.in|0|0|-4|3|3|204|7743|10764|16248|||10624|11670|11674|""http://bbmbdavnangal.in/File/5672//Slider_b121797d-fde4-4f12-90a6-c20da6806290_a23.jpg""
0035|http://bbs.r18vtb.com|0|0|-4|6|7|118|391|1944|3694|||1844|3690|3699|""http://bbs.r18vtb.com/static/image/common/logo_m.svg""
0036|http://bellacain.com|||||||||||||||
0037|http://biblioteka.com.ua|||||||||||||||
0038|http://biopsija.com|||||||||||||||
